Squad,MP,W,D,L,GF,GA,GD,Pts
Mumbai City,14,6,5,3,16,8,+8,23
Kerala Blasters,14,6,4,4,13,15,-2,22
Delhi Dynamos,14,5,6,3,27,17,+10,21
Kolkata,14,4,8,2,16,14,+2,20
NorthEast Utd,14,5,3,6,14,14,0,18
Pune City,14,4,4,6,13,16,-3,16
Chennaiyin,14,3,6,5,20,25,-5,15
Goa,14,4,2,8,15,25,-10,14
