Squad,MP,W,D,L,GF,GA,GD,Pts
Goa,14,7,4,3,29,20,+9,25
Kolkata,14,7,2,5,26,17,+9,23
Chennaiyin,14,7,1,6,25,15,+10,22
Delhi Dynamos,14,6,4,4,18,20,-2,22
NorthEast Utd,14,6,2,6,18,23,-5,20
Mumbai City,14,4,4,6,16,26,-10,16
Pune City,14,4,3,7,17,23,-6,15
Kerala Blasters,14,3,4,7,22,27,-5,13
