Squad,MP,W,D,L,GF,GA,GD,Pts
Chennaiyin,14,6,5,3,24,20,+4,23
Goa,14,6,4,4,21,12,+9,22
Kolkata,14,4,7,3,16,13,+3,19
Kerala Blasters,14,5,4,5,9,11,-2,19
Delhi Dynamos,14,4,6,4,16,14,+2,18
Pune City,14,4,4,6,12,17,-5,16
Mumbai City,14,4,4,6,12,21,-9,16
NorthEast Utd,14,3,6,5,11,13,-2,15
