Squad,MP,W,D,L,GF,GA,GD,Pts
Mumbai City,20,14,4,2,54,21,+33,46
Hyderabad FC,20,13,3,4,36,16,+20,42
Mohun Bagan,20,10,4,6,24,17,+7,34
Bengaluru,20,11,1,8,27,23,+4,34
Kerala Blasters,20,10,1,9,28,28,0,31
Odisha,20,9,3,8,30,32,-2,30
Goa,20,8,3,9,36,35,+1,27
Chennaiyin,20,7,6,7,36,37,-1,27
East Bengal,20,6,1,13,22,38,-16,19
Jamshedpur,20,5,4,11,21,32,-11,19
NorthEast Utd,20,1,2,17,20,55,-35,5
