Squad,MP,W,D,L,GF,GA,GD,Pts
Mumbai City,20,12,4,4,35,18,+17,40
Mohun Bagan,20,12,4,4,28,15,+13,40
NorthEast Utd,20,8,9,3,31,25,+6,33
Goa,20,7,10,3,31,23,+8,31
Hyderabad FC,20,6,11,3,27,19,+8,29
Jamshedpur,20,7,6,7,21,22,-1,27
Bengaluru,20,5,7,8,26,28,-2,22
Chennaiyin,20,3,11,6,17,23,-6,20
East Bengal,20,3,8,9,22,33,-11,17
Kerala Blasters,20,3,8,9,23,36,-13,17
Odisha,20,2,6,12,25,44,-19,12
