Squad,MP,W,D,L,GF,GA,GD,Pts
Bengaluru,18,10,4,4,29,22,+7,34
Goa,18,10,4,4,36,20,+16,34
Mumbai City,18,9,3,6,25,20,+5,30
NorthEast Utd,18,7,8,3,22,18,+4,29
Jamshedpur,18,6,9,3,29,21,+8,27
Kolkata,18,6,6,6,18,22,-4,24
Pune City,18,6,4,8,24,30,-6,22
Delhi Dynamos,18,4,6,8,23,27,-4,18
Kerala Blasters,18,2,9,7,18,28,-10,15
Chennaiyin,18,2,3,13,16,32,-16,9
