Squad,MP,W,D,L,GF,GA,GD,Pts
Goa,18,12,3,3,46,23,+23,39
Kolkata,18,10,4,4,33,16,+17,34
Bengaluru,18,8,6,4,22,13,+9,30
Chennaiyin,18,8,5,5,32,26,+6,29
Mumbai City,18,7,5,6,25,29,-4,26
Odisha,18,7,4,7,28,31,-3,25
Kerala Blasters,18,4,7,7,29,32,-3,19
Jamshedpur,18,4,6,8,22,35,-13,18
NorthEast Utd,18,2,8,8,16,30,-14,14
Hyderabad FC,18,2,4,12,21,39,-18,10
