Squad,MP,W,D,L,GF,GA,GD,Pts
Bengaluru,18,13,1,4,35,16,+19,40
Chennaiyin,18,9,5,4,24,19,+5,32
Goa,18,9,3,6,42,28,+14,30
Pune City,18,9,3,6,30,21,+9,30
Jamshedpur,18,7,5,6,16,18,-2,26
Kerala Blasters,18,6,7,5,20,22,-2,25
Mumbai City,18,7,2,9,25,29,-4,23
Delhi Dynamos,18,5,4,9,27,37,-10,19
Kolkata,18,4,4,10,16,30,-14,16
NorthEast Utd,18,3,2,13,12,27,-15,11
