Squad,MP,W,D,L,GF,GA,GD,Pts
Jamshedpur,20,13,4,3,42,21,+21,43
Hyderabad FC,20,11,5,4,43,23,+20,38
Mohun Bagan,20,10,7,3,37,26,+11,37
Kerala Blasters,20,9,7,4,34,24,+10,34
Mumbai City,20,9,4,7,36,31,+5,31
Bengaluru,20,8,5,7,32,27,+5,29
Odisha,20,6,5,9,31,43,-12,23
Chennaiyin,20,5,5,10,17,35,-18,20
Goa,20,4,7,9,29,35,-6,19
NorthEast Utd,20,3,5,12,25,43,-18,14
East Bengal,20,1,8,11,18,36,-18,11
